19:05:08.659 [pool-2-thread-4] INFO  org.putkov.tt.state.WaitingState - Car 4: no free boxes, waiting...
19:05:08.659 [pool-2-thread-3] INFO  org.putkov.tt.state.WaitingState - Car 3: no free boxes, waiting...
19:05:08.659 [pool-2-thread-5] INFO  org.putkov.tt.state.WaitingState - Car 5: no free boxes, waiting...
19:05:08.675 [pool-2-thread-2] INFO  org.putkov.tt.entity.Car - Car 2 in state RepairingState
19:05:08.675 [pool-2-thread-2] INFO  org.putkov.tt.state.RepairingState - Car 2 is being repaired...
19:05:08.675 [pool-2-thread-2] INFO  org.putkov.tt.entity.Storage - Took 1 parts from storage. Remaining: 99
19:05:08.675 [pool-2-thread-2] INFO  org.putkov.tt.state.RepairingState - Car 2 took parts from storage
19:05:08.675 [pool-2-thread-2] INFO  org.putkov.tt.state.RepairingState - Car 2 is being repaired in box 1
19:05:09.660 [pool-2-thread-1] INFO  org.putkov.tt.state.WaitingState - Car 1 took box 2
19:05:09.660 [pool-2-thread-1] INFO  org.putkov.tt.entity.Car - Car 1 in state RepairingState
19:05:09.660 [pool-2-thread-1] INFO  org.putkov.tt.state.RepairingState - Car 1 is being repaired...
